Day,Time_hr,Total_hr,Freq_Hz,Bus1_V_pu,Bus1_Ang_deg,Bus2_V_pu,Bus2_Ang_deg,Bus3_V_pu,Bus3_Ang_deg,PV_P_kW,PV_Q_kVAR,ESS_P_kW,ESS_Q_kVAR,Load1_P_kW,Load1_Q_kVAR,Load2_P_kW,Load2_Q_kVAR,Load3_P_kW,Load3_Q_kVAR
5,17.5,137.5,60.0,0.9971268165599684,0.03011991772324201,0.9999991385821796,4.8925959927072736e-05,0.9994627393282782,0.029483596581021287,3.7904988514305313,2.842875002977275,3.7904988514305313,2.842875002977275,3.7905001713731252,2.842875088955644,3.790499999613637,2.8428750002096903,3.7904988514305313,2.842875002977275
5,17.75,137.75,60.0,0.9971343372766758,0.030040233204528706,0.9999990596379379,4.879828512338107e-05,0.9992853782282543,0.02430454937750077,3.7804987040714995,2.8353748907788003,3.7804987040714995,2.8353748907788003,3.7805001706199013,2.8353750885377496,3.7804999995396633,2.8353750001955693,3.7804987040714995,2.8353748907788003
5,18.0,138.0,60.0,0.997177340806204,0.029589019828721225,0.9999990321032629,4.806809889252828e-05,0.9992044286541292,0.021324850055280124,3.723874383139968,2.7929061801859647,3.723874383139968,2.7929061801859647,3.723875956474492,2.79290674220072,3.7238749999373466,2.7929062500886817,3.723874383139968,2.7929061801859647
5,18.25,138.25,60.0,0.9972203415625217,0.02913783567790902,0.9999990045614645,4.733811198877245e-05,0.9991234634209297,0.01834466308587427,3.6672493584006496,2.7504374057946217,3.6672493584006496,2.7504374057946217,3.667250934838524,2.750437979417502,3.667249999919899,2.7504375000840056,3.6672493584006496,2.7504374057946217
5,18.5,138.5,60.0,0.9972633385285363,0.02868669066962004,0.999998977012356,4.660833397108433e-05,0.9990424823431244,0.015363993581823665,3.6106243346919613,2.7079686321727623,3.6106243346919613,2.7079686321727623,3.610625913401998,2.7079692167884484,3.6106249999030053,2.7079687500794307,3.6106243346919613,2.7079686321727623
5,18.75,138.75,60.0,0.9973063317052056,0.028235584793985163,0.9999989494559338,4.5878764929417134e-05,0.9989614854101375,0.012382841213175488,3.5539993120161633,2.6654998593214208,3.5539993120161633,2.6654998593214208,3.5540008921874615,2.665500454325105,3.5539999998866745,2.665500000074962,3.5539993120161633,2.6654998593214208
5,19.0,139.0,60.0,0.9972433400321056,0.02889580371940845,0.9999989204643274,4.694936347155967e-05,0.99892742704604,0.012391866785821846,3.636874735289507,2.727656162625602,3.636874735289507,2.727656162625602,3.6368736469473326,2.727655557837223,3.63687499964129,2.7276562500135144,3.636874735289507,2.727656162625602
5,19.25,139.25,60.0,0.997180337406024,0.029556134788996092,0.9999988914703397,4.802003443045277e-05,0.998893366491158,0.01240089121586564,3.719749724919579,2.7898124073907002,3.719749724919579,2.7898124073907002,3.7197486006161875,2.7898117804955733,3.7197499996278816,2.789812500012865,3.719749724919579,2.7898124073907002
5,19.5,139.5,60.0,0.997117326664527,0.03021654951045648,0.9999988624743056,4.909076391915067e-05,0.9988593036129265,0.012409916339003303,3.8026247143541445,2.8519686520099565,3.8026247143541445,2.8519686520099565,3.802623553650256,2.851968002665052,3.8026249996142516,2.851968750012173,3.8026247143541445,2.8519686520099565
5,19.75,139.75,60.0,0.9970543078045786,0.030877047915154113,0.9999988334762224,5.0161551955333865e-05,0.998825238406458,0.012418942029563309,3.8854997035940406,2.914124896483674,3.8854997035940406,2.914124896483674,3.88549850598799,2.9141242243140804,3.8854999996003854,2.9141250000114374,3.8854997035940406,2.914124896483674
5,20.0,140.0,60.0,0.9970604838036825,0.030812309213035075,0.9999988356829647,5.005661424989693e-05,0.9988271780094627,0.012378115183449575,3.8773750153374746,2.90803125704946,3.8773750153374746,2.90803125704946,3.877375145956649,2.9080313257516948,3.87737500003353,2.908031250000232,3.8773750153374746,2.90803125704946
5,20.25,140.25,60.0,0.9970666617711693,0.03074755161412678,0.9999988378900021,4.9951663848396396e-05,0.9988291177194488,0.012337286964697264,3.8692500152896785,2.901937507022644,3.8692500152896785,2.901937507022644,3.8692501455445854,2.901937575502454,3.8692500000334284,2.901937500000224,3.8692500152896785,2.901937507022644
5,20.5,140.5,60.0,0.9970728396606687,0.03068279481897216,0.9999988400970262,4.98467138658053e-05,0.9988310574235867,0.012296458967730246,3.861125015241025,2.8958437569954945,3.861125015241025,2.8958437569954945,3.8611251450847863,2.8958438252286647,3.8611250000333213,2.895843750000217,3.861125015241025,2.8958437569954945
5,20.75,140.75,60.0,0.9970790174721209,0.030618038828124333,0.9999988423040345,4.9741764302552796e-05,0.9988329971174644,0.012255631066708053,3.8530000151923964,2.889750006968385,3.8530000151923964,2.889750006968385,3.85300014462564,2.889750074955365,3.8530000000332105,2.889750000000209,3.8530000151923964,2.889750006968385
5,21.0,141.0,60.0,0.9971465889889699,0.02990977726409281,0.9999988690483662,4.859369182572505e-05,0.9988599469335409,0.011972614916778477,3.7641252135140975,2.8230938345735845,3.7641252135140975,2.8230938345735845,3.764126527693598,2.8230945376425836,3.7641250003718163,2.8230937499959867,3.7641252135140975,2.8230938345735845
5,21.25,141.25,60.0,0.9972141529697635,0.029201594523916963,0.9999988957910336,4.744566328856452e-05,0.9988868953476022,0.011689612962643469,3.675250205700134,2.7564375805013985,3.675250205700134,2.7564375805013985,3.675251474116245,2.756438255950494,3.6752500003581843,2.7564374999951884,3.675250205700134,2.7564375805013985
5,21.5,141.5,60.0,0.9972817076193113,0.02849350795409931,0.9999989225317727,4.6297689888730576e-05,0.998913842281319,0.011406626303823785,3.5863751980202627,2.689781326529779,3.5863751980202627,2.689781326529779,3.586376421356111,2.689781974878736,3.5863750003447796,2.689781249994434,3.5863751980202627,2.689781326529779
5,21.75,141.75,60.0,0.9973492529413946,0.027785517515523134,0.9999989492705836,4.514977160788748e-05,0.9989407877349326,0.01112365493779569,3.497500190475059,2.623125072658947,3.497500190475059,2.623125072658947,3.497501369453188,2.6231256944477135,3.4975000003316126,2.6231249999937227,3.497500190475059,2.623125072658947
